Arquivo,Tamanho(KB),Metodo,Execucao,Contagem,Tempo(ms),Nucleos_Threads
Dracula-165307.txt,869,SerialCPU,1,7997,2,1
Dracula-165307.txt,869,SerialCPU,2,7997,1,1
Dracula-165307.txt,869,SerialCPU,3,7997,1,1
Dracula-165307.txt,869,ParallelCPU,1,7997,7,2
Dracula-165307.txt,869,ParallelCPU,2,7997,1,2
Dracula-165307.txt,869,ParallelCPU,3,7997,1,2
Dracula-165307.txt,869,ParallelCPU,1,7997,1,4
Dracula-165307.txt,869,ParallelCPU,2,7997,1,4
Dracula-165307.txt,869,ParallelCPU,3,7997,0,4
Dracula-165307.txt,869,ParallelCPU,1,7997,4,8
Dracula-165307.txt,869,ParallelCPU,2,7997,1,8
Dracula-165307.txt,869,ParallelCPU,3,7997,0,8
MobyDick-217452.txt,1246,SerialCPU,1,14512,0,1
MobyDick-217452.txt,1246,SerialCPU,2,14512,0,1
MobyDick-217452.txt,1246,SerialCPU,3,14512,0,1
MobyDick-217452.txt,1246,ParallelCPU,1,14512,0,2
MobyDick-217452.txt,1246,ParallelCPU,2,14512,0,2
MobyDick-217452.txt,1246,ParallelCPU,3,14512,0,2
MobyDick-217452.txt,1246,ParallelCPU,1,14512,0,4
MobyDick-217452.txt,1246,ParallelCPU,2,14512,0,4
MobyDick-217452.txt,1246,ParallelCPU,3,14512,0,4
MobyDick-217452.txt,1246,ParallelCPU,1,14512,0,8
MobyDick-217452.txt,1246,ParallelCPU,2,14512,0,8
MobyDick-217452.txt,1246,ParallelCPU,3,14512,4,8
DonQuixote-388208.txt,2173,SerialCPU,1,186,1,1
DonQuixote-388208.txt,2173,SerialCPU,2,186,1,1
DonQuixote-388208.txt,2173,SerialCPU,3,186,1,1
DonQuixote-388208.txt,2173,ParallelCPU,1,186,0,2
DonQuixote-388208.txt,2173,ParallelCPU,2,186,0,2
DonQuixote-388208.txt,2173,ParallelCPU,3,186,0,2
DonQuixote-388208.txt,2173,ParallelCPU,1,186,1,4
DonQuixote-388208.txt,2173,ParallelCPU,2,186,0,4
DonQuixote-388208.txt,2173,ParallelCPU,3,186,0,4
DonQuixote-388208.txt,2173,ParallelCPU,1,186,0,8
DonQuixote-388208.txt,2173,ParallelCPU,2,186,0,8
DonQuixote-388208.txt,2173,ParallelCPU,3,186,0,8
